id,title,description,agency,collected,freq,api_url,download_url,tags
ABORIGINAL_ID_POP_PROJ,"Projected resident population, Aboriginal and Torres Strait Islander Australians, identification change series, sex and age groups by states and territories and Australia, 2021 to 2031","Contains estimates and projections of the Aboriginal and Torres Strait Islander population based on the 2021 Census of Population and Housing, by sex and five-year age groups, for the period 2006 to 2031. Population projections illustrate how the Australian Aboriginal and Torres Strait Islander population would change in the future as a result of certain assumptions. This dataset presents 9 scenarios, comprising combinations of different rates of fertility, paternity, mortality, interstate migration and overseas migration. Unit of measure: Projected Persons. Geographic coverage: Australia/State. Catalogue number: 3238.0",ABS,,,,,AGE;ASGS_2011;FREQUENCY;MEASURE;SERIES;SEX_ABS;TIME_PERIOD;true
ABORIGINAL_ID_POP_PROJ_REMOTE,"Projected resident population, Aboriginal and Torres Strait Islander Australians, identification change series, sex and age groups by Remoteness Areas, 2021 to 2031","Contains estimates and projections (based on assumptions on past and future fertility, mortality and migration) of the Aboriginal and Torres Strait Islander population based on the 2021 Census of Population and Housing for Indigenous Regions and Remoteness Areas by sex and five-year age groups, for the period 2017 to 2031. Population projections illustrate how the Australian Aboriginal and Torres Strait Islander population would change in the future as a result of certain assumptions. This dataset presents 9 scenarios, comprising combinations of different rates of fertility, paternity, mortality, interstate migration and overseas migration. Unit of measure: Projected Persons. Geographic coverage: Remoteness Areas. Catalogue number: 3238.0",ABS,,annual,,,AGE;FREQUENCY;REGION;SEX_ABS;TIME_PERIOD;TIME_PERIOD_START;true
ABORIGINAL_POP_PROJ,"Projected population, Aboriginal and Torres Strait Islander peoples, States and Territories, 2021 to 2031","Contains estimates and projections of the Aboriginal and Torres Strait Islander population based on the 2021 Census of Population and Housing, by sex and five-year age groups, for the period 2006 to 2031. Population projections illustrate how the Australian Aboriginal and Torres Strait Islander population would change in the future as a result of certain assumptions. This dataset presents 9 scenarios, comprising combinations of different rates of fertility, paternity, mortality, interstate migration and overseas migration. Unit of measure: Projected Persons. Geographic coverage: Australia/State. Catalogue number: 3238.0",ABS,,annual,,,AGE;ASGS_2011;FREQUENCY;MEASURE;SEX_ABS;TIME_PERIOD;TIME_PERIOD_START;true
ABORIGINAL_POP_PROJ_REMOTE,"Projected population, Aboriginal and Torres Strait Islander peoples, Remoteness Areas, 2021 to 2031","Contains estimates and projections (based on assumptions on past and future fertility, mortality and migration) of the Aboriginal and Torres Strait Islander population based on the 2021 Census of Population and Housing for Indigenous Regions and Remoteness Areas by sex and five-year age groups, for the period 2017 to 2031. Population projections illustrate how the Australian Aboriginal and Torres Strait Islander population would change in the future as a result of certain assumptions. This dataset presents 9 scenarios, comprising combinations of different rates of fertility, paternity, mortality, interstate migration and overseas migration. Unit of measure: Projected Persons. Geographic coverage: Remoteness Areas. Catalogue number: 3238.0",ABS,,annual,,,AGE;FREQUENCY;REGION;SEX_ABS;TIME_PERIOD;TIME_PERIOD_START;true
ABS_ABORIGINAL_POPPROJ_INDREGION,"Projected population, Aboriginal and Torres Strait Islander Australians, Indigenous Regions, 2021 to 2031","Contains estimates and projections (based on assumptions on past and future fertility, mortality and migration) of the Aboriginal and Torres Strait Islander population based on the 2021 Census of Population and Housing for Indigenous Regions and Remoteness Areas by sex and five-year age groups, for the period 2021 to 2031. Population projections illustrate how the Australian Aboriginal and Torres Strait Islander population would change in the future as a result of certain assumptions. This dataset presents 9 scenarios, comprising combinations of different rates of fertility, paternity, mortality, interstate migration and overseas migration. Unit of measure: Projected Persons. Geographic coverage: Indigenous Regions. Catalogue number: 3238.0",ABS,,annual,,,AGE;FREQUENCY;INDIGENOUS_REGION;MEASURE;PROJ_SERIES;SEX_ABS;TIME_PERIOD;TIME_PERIOD_START;true
ABS_ACLD_LFSTATUS,"Australian Census Longitudinal Dataset (ACLD): Labour force status, 2006-2011",The Australian Census Longitudinal Dataset (ACLD) is Australia's largest longitudinal dataset bringing together a 5% random sample of around one million records from the 2006 Census with corresponding records from the 2011 Census. Unit of measure: Count of persons in scope of both the 2006 and 2011 Censuses. Geographic coverage: Australia/State/SA4/SA3/SA2. Catalogue number: 2080.5,ABS,,,,,AGE;ASGS_2011;LF_2006;LF_2011;SEX_ABS;TIME_PERIOD_START;true
ABS_ACLD_TENURE,"Australian Census Longitudinal Dataset (ACLD): Tenure and landlord type, 2006-2011",The Australian Census Longitudinal Dataset (ACLD) is Australia's largest longitudinal dataset bringing together a 5% random sample of around one million records from the 2006 Census with corresponding records from the 2011 Census. Unit of measure: Count of persons in scope of both the 2006 and 2011 Censuses. Geographic coverage: Australia/State/SA4/SA3/SA2. Catalogue number: 2080.5,ABS,,,,,AGE;ASGS_2011;SEX_ABS;TENURE_2006;TENURE_2011;TIME_PERIOD_START;true
ABS_ACLD_UNPAIDASST,"Australian Census Longitudinal Dataset (ACLD): Unpaid assistance to a person with disability, 2006-2011",The Australian Census Longitudinal Dataset (ACLD) is Australia's largest longitudinal dataset bringing together a 5% random sample of around one million records from the 2006 Census with corresponding records from the 2011 Census. Unit of measure: Count of persons in scope of both the 2006 and 2011 Censuses. Geographic coverage: Australia/State/SA4/SA3/SA2. Catalogue number: 2080.5,ABS,,,,,AGE;ASGS_2011;SEX_ABS;TIME_PERIOD_START;UNPAIDASST_2006;UNPAIDASST_2011;true
ABS_ACLD_VOLWORK,"Australian Census Longitudinal Dataset (ACLD): Voluntary work for an organisation or group, 2006-2011",The Australian Census Longitudinal Dataset (ACLD) is Australia's largest longitudinal dataset bringing together a 5% random sample of around one million records from the 2006 Census with corresponding records from the 2011 Census. Unit of measure: Count of persons in scope of both the 2006 and 2011 Censuses. Geographic coverage: Australia/State/SA4/SA3/SA2. Catalogue number: 2080.5,ABS,,,,,AGE;ASGS_2011;SEX_ABS;TIME_PERIOD_START;VOLWORK_2006;VOLWORK_2011;true
ABS_ANNUAL_ERP_ASGS,"ERP by SA2 and above (ASGS 2011), 1991 to 2016","Estimated Resident Population (ERP) is the official measure of the Australian population. ERP for sub-state regions (including SA2s and LGAs) is published annually, with a reference date of 30 June. Unit of measure: Persons. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 3101.0",ABS,,annual,,,ASGS_2011;FREQUENCY;MEASURE;REGION_TYPE;TIME_PERIOD;TIME_PERIOD_START;true
