file_url,file_ext,page_url,page_title,page_description,page_tags,anchor_text,content_type,content_length,discovered_at,data_collected_date
https://www.education.gov.au/download/91/organisation-chart/41739/organisation-chart/pdf,.pdf,https://www.education.gov.au/about-department/resources/organisation-chart,"Organisation chart - Department of Education, Australian Government",Organisation chart for the Department of Education.,About the Department,Download Organisation chart as a PDF (197.23kb),application/pdf,201963,2025-08-31T00:18:24Z,2025-08-05
https://www.education.gov.au/download/18684/department-education-2023-24-annual-report/39393/document/pdf,.pdf,https://www.education.gov.au/about-department/corporate-reporting/annual-reports,"Annual Reports - Department of Education, Australian Government","The Annual Report provides information about the Department's achievements, corporate arrangements and performance.",About the Department,Download Department of Education 2023-24 Annual Report as a PDF (3.36mb),application/pdf,3519139,2025-08-31T00:18:29Z,2024-11-06
https://www.education.gov.au/download/6146/department-education-reconciliation-action-plan/34260/document/pdf,.pdf,https://www.education.gov.au/about-department/reconciliation-action-plan,"Reconciliation Action Plan - Department of Education, Australian Government",The department’s overarching purpose is maximising opportunity and prosperity through national leadership on education.,About the Department,Download Department of Education Reconciliation Action Plan as a PDF (9.72mb),application/pdf,10190660,2025-08-31T00:18:38Z,2023-09-06
https://www.education.gov.au/download/16723/reconciliation-commitment-2023-2024/33901/document/pdf,.pdf,https://www.education.gov.au/about-department/reconciliation-commitment,"Reconciliation Commitment - Department of Education, Australian Government",The department is committed to reconciliation and creating opportunities for First Nations peoples.,About the Department,Download Reconciliation Commitment 2023–2024 as a PDF (436.94kb),application/pdf,447424,2025-08-31T00:18:40Z,2023-07-24
https://www.education.gov.au/download/18783/2024-aps-employee-census-highlight-report-department-education/39816/document/pdf,.pdf,https://www.education.gov.au/about-department/corporate-reporting/census-reports,"Census Reports - Department of Education, Australian Government",The APS Employee Census is an annual survey which is used to collect confidential attitude and opinion information from APS employees on issues in the workplace. It is an opportunity for APS employees to share their experiences of working in the APS.,About the Department,Download 2024 APS Employee Census Highlight Report – Department of Education as a PDF (1.38mb),application/pdf,1445571,2025-08-31T00:18:43Z,2024-11-26
https://www.education.gov.au/download/18783/2024-aps-employee-census-highlight-report-department-education/39815/document/xlsx,.xlsx,https://www.education.gov.au/about-department/corporate-reporting/census-reports,"Census Reports - Department of Education, Australian Government",The APS Employee Census is an annual survey which is used to collect confidential attitude and opinion information from APS employees on issues in the workplace. It is an opportunity for APS employees to share their experiences of working in the APS.,About the Department,Download 2024 APS Employee Census Highlight Report – Department of Education as a XLSX (42.38kb),application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,43394,2025-08-31T00:18:44Z,2024-11-26
https://www.education.gov.au/download/18784/2024-census-action-plan-department-education/39875/document/pdf,.pdf,https://www.education.gov.au/about-department/corporate-reporting/census-reports,"Census Reports - Department of Education, Australian Government",The APS Employee Census is an annual survey which is used to collect confidential attitude and opinion information from APS employees on issues in the workplace. It is an opportunity for APS employees to share their experiences of working in the APS.,About the Department,Download 2024 Census Action Plan - Department of Education as a PDF (111.14kb),application/pdf,113805,2025-08-31T00:18:45Z,2024-11-26
https://www.education.gov.au/download/17389/2023-aps-employee-census-highlights-report-department-education/35393/document/xlsx,.xlsx,https://www.education.gov.au/about-department/corporate-reporting/census-reports,"Census Reports - Department of Education, Australian Government",The APS Employee Census is an annual survey which is used to collect confidential attitude and opinion information from APS employees on issues in the workplace. It is an opportunity for APS employees to share their experiences of working in the APS.,About the Department,Download 2023 APS Employee Census Highlights Report - Department of Education as a XLSX (45.49kb),application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,46583,2025-08-31T00:18:46Z,2024-11-26
https://www.education.gov.au/download/17389/2023-aps-employee-census-highlights-report-department-education/35394/document/pdf,.pdf,https://www.education.gov.au/about-department/corporate-reporting/census-reports,"Census Reports - Department of Education, Australian Government",The APS Employee Census is an annual survey which is used to collect confidential attitude and opinion information from APS employees on issues in the workplace. It is an opportunity for APS employees to share their experiences of working in the APS.,About the Department,Download 2023 APS Employee Census Highlights Report - Department of Education as a PDF (1.22mb),application/pdf,1280262,2025-08-31T00:18:47Z,2024-11-26
https://www.education.gov.au/download/17453/2023-census-action-plan-department-education/35395/document/pdf,.pdf,https://www.education.gov.au/about-department/corporate-reporting/census-reports,"Census Reports - Department of Education, Australian Government",The APS Employee Census is an annual survey which is used to collect confidential attitude and opinion information from APS employees on issues in the workplace. It is an opportunity for APS employees to share their experiences of working in the APS.,About the Department,Download 2023 Census Action Plan - Department of Education as a PDF (93.33kb),application/pdf,95569,2025-08-31T00:18:48Z,2024-11-26
https://www.education.gov.au/download/14831/2022-aps-employee-census-highlights-report-department-education-skills-and-employment/30787/2022-aps-employee-census-highlights-report/pdf,.pdf,https://www.education.gov.au/about-department/corporate-reporting/census-reports,"Census Reports - Department of Education, Australian Government",The APS Employee Census is an annual survey which is used to collect confidential attitude and opinion information from APS employees on issues in the workplace. It is an opportunity for APS employees to share their experiences of working in the APS.,About the Department,"Download 2022 APS Employee Census Highlights Report - Department of Education, Skills and Employment as a PDF (1.16mb)",application/pdf,1214133,2025-08-31T00:18:49Z,2024-11-26
